TimeStamp,Power,Temperature,Prectotland,Rhoa,Irradiance (G),Irradiance (A),Cloud
2014-10-20 12:00:00,480.4349105952001,30.565,0.0,1.138,706.618,1014.074,0.0
2014-10-20 13:00:00,441.05088887640005,30.998,0.0,1.135,640.765,939.703,0.0
2014-10-20 14:00:00,349.8040925577,30.801,0.0,1.133,484.715,792.593,0.0
2014-10-20 15:00:00,218.6948147472,30.226,0.0,1.132,320.429,582.943,0.0
2014-10-20 16:00:00,98.9353421397,28.27,0.0,1.133,143.503,324.811,0.0
2014-10-20 17:00:00,14.467490779500002,25.249,0.0,1.135,17.009,57.536,0.0
2014-10-20 18:00:00,0.0,24.117,0.0,1.138,0.0,0.0,0.0
2014-10-20 19:00:00,0.0,23.358,0.0,1.141,0.0,0.0,0.0
2014-10-20 20:00:00,0.0,22.625,0.0,1.144,0.0,0.0,0.0
2014-10-20 21:00:00,0.0,21.922,0.0,1.147,0.0,0.0,0.0
2014-10-20 22:00:00,0.0,21.193,0.0,1.15,0.0,0.0,0.0
2014-10-20 23:00:00,0.0,20.428,0.0,1.154,0.0,0.0,0.0
2014-10-21 00:00:00,0.0,19.648,0.0,1.157,0.0,0.0,0.0
2014-10-21 01:00:00,0.0,18.861,0.0,1.161,0.0,0.0,0.0
2014-10-21 02:00:00,0.0,18.143,0.0,1.164,0.0,0.0,0.0
2014-10-21 03:00:00,0.0,17.659,0.0,1.166,0.0,0.0,0.0
2014-10-21 04:00:00,0.0,17.411,0.0,1.168,0.0,0.0,0.0
2014-10-21 05:00:00,0.0,17.309,0.0,1.169,0.0,0.0,0.0
2014-10-21 06:00:00,4.9642531092,17.429,0.0,1.171,13.669,40.576,0.0
2014-10-21 07:00:00,64.7716453461,19.865,0.0,1.172,157.35,296.452,0.0
2014-10-21 08:00:00,169.6131100521,22.174,0.0,1.169,359.187,557.554,0.0
2014-10-21 09:00:00,275.62433325570004,25.598,0.0,1.157,540.685,771.859,0.0
2014-10-21 10:00:00,362.9398101714,29.435,0.0,1.144,674.073,924.749,0.0
2014-10-21 11:00:00,413.6239198872001,30.663,0.0,1.14,717.165,1005.508,0.0
2014-10-21 12:00:00,409.55505466590006,31.409,0.0,1.136,719.652,1008.845,0.0
2014-10-21 13:00:00,384.4025885007,31.747,0.0,1.133,654.562,934.474,0.0
2014-10-21 14:00:00,311.4117897066,31.842,0.0,1.131,549.357,787.59,0.0
2014-10-21 15:00:00,205.9935278742,31.407,0.0,1.13,374.233,577.943,0.0
2014-10-21 16:00:00,94.4069617161,30.133,0.0,1.131,175.363,320.044,0.0
2014-10-21 17:00:00,12.5604380088,28.232,0.0,1.132,20.144,54.69,0.0
2014-10-21 18:00:00,0.0,27.682,0.0,1.135,0.0,0.0,0.0
2014-10-21 19:00:00,0.0,27.198,0.0,1.138,0.0,0.0,0.0
2014-10-21 20:00:00,0.0,26.588,0.0,1.141,0.0,0.0,0.0
2014-10-21 21:00:00,0.0,25.849,0.0,1.144,0.0,0.0,0.0
2014-10-21 22:00:00,0.0,24.842,0.0,1.147,0.0,0.0,0.0
2014-10-21 23:00:00,0.0,23.814,0.0,1.151,0.0,0.0,0.0
2014-10-22 00:00:00,0.0,22.834,0.0,1.154,0.0,0.0,0.0
2014-10-22 01:00:00,0.0,21.882,0.0,1.158,0.0,0.0,0.0
2014-10-22 02:00:00,0.0,21.086,0.0,1.161,0.0,0.0,0.0
2014-10-22 03:00:00,0.0,20.542,0.0,1.163,0.0,0.0,0.0
2014-10-22 04:00:00,0.0,20.076,0.0,1.165,0.0,0.0,0.0
2014-10-22 05:00:00,0.0,19.701,0.0,1.168,0.0,0.0,0.0
2014-10-22 06:00:00,4.573250599500001,19.188,0.0,1.17,12.91,38.207,0.0
2014-10-22 07:00:00,61.02680009579999,20.431,0.0,1.172,153.578,291.687,0.0
2014-10-22 08:00:00,167.2585627878,22.412,0.0,1.171,351.12,552.75,0.0
2014-10-22 09:00:00,274.65582206700003,25.762,0.0,1.159,528.894,766.859,0.0
2014-10-22 10:00:00,359.7027046371,30.104,0.0,1.143,659.513,919.528,0.0
2014-10-22 11:00:00,403.2163608264,31.421,0.0,1.138,712.273,1000.279,0.0
2014-10-22 12:00:00,395.9297952885,32.086,0.0,1.135,716.44,1003.595,0.0
